feature,model_count,avg_rank,worst_rank,avg_relative_mean_abs_shap,max_relative_mean_abs_shap,feature_type,train_target_spearman,target_correlation_direction,abs_train_target_spearman,pruning_candidate
worst_of_vol_pressure,1,35.0,35,0.003947599571915851,0.003947599571915851,numeric,0.40336474922214055,positive,0.40336474922214055,False
requested_year,1,34.0,34,0.004059195134231552,0.004059195134231552,numeric,0.010026380451806304,mixed_or_flat,0.010026380451806304,False
realized_vol_63d_max,1,33.0,33,0.00407626889086681,0.00407626889086681,numeric,-0.0019041771713730238,mixed_or_flat,0.0019041771713730238,False
basket_realized_vol_change_21d_mean,1,32.0,32,0.00429767297872389,0.00429767297872389,numeric,-0.015579999315163486,mixed_or_flat,0.015579999315163486,False
lowest_realized_vol_underlying,1,31.0,31,0.004763748408873169,0.004763748408873169,categorical,,categorical_not_ordered,,False
basket_realized_vol_zscore_mean,1,30.0,30,0.0052493057564819605,0.0052493057564819605,numeric,-0.025912632587623725,mixed_or_flat,0.025912632587623725,False
post_no_call_observation_count,1,29.0,29,0.005424393347919416,0.005424393347919416,numeric,0.03141490589214327,mixed_or_flat,0.03141490589214327,False
no_call_fraction_of_maturity,1,28.0,28,0.0054994383069052084,0.0054994383069052084,numeric,0.00425182625959308,mixed_or_flat,0.00425182625959308,False
realized_to_structural_vol_ratio,1,27.0,27,0.006057862163608369,0.006057862163608369,numeric,-0.05499105918224609,negative,0.05499105918224609,False
dominant_sector,1,26.0,26,0.006072583677816329,0.006072583677816329,categorical,,categorical_not_ordered,,False
realized_vol_63d_min,1,25.0,25,0.006223046976576841,0.006223046976576841,numeric,-0.270205558952747,negative,0.270205558952747,False
autocall_to_protection_ratio,1,24.0,24,0.008074751179584377,0.008074751179584377,numeric,0.3612758615071104,positive,0.3612758615071104,False
basket_realized_vol_change_21d_max,1,23.0,23,0.00879355008828228,0.00879355008828228,numeric,0.05619200687794252,positive,0.05619200687794252,False
underlying_HTTX,1,22.0,22,0.009471761448618974,0.009471761448618974,numeric,0.1717459980040885,positive,0.1717459980040885,False
estimated_observation_count,1,21.0,21,0.009473274494078438,0.009473274494078438,numeric,0.027951978097076953,mixed_or_flat,0.027951978097076953,False
structural_base_vol_max,1,20.0,20,0.009502057215205289,0.009502057215205289,numeric,0.09504405698417048,positive,0.09504405698417048,False
basket_signature,1,19.0,19,0.009677287671752145,0.009677287671752145,categorical,,categorical_not_ordered,,False
lowest_structural_vol_underlying,1,18.0,18,0.011251001788009318,0.011251001788009318,categorical,,categorical_not_ordered,,False
highest_realized_vol_underlying,1,17.0,17,0.017283691943712116,0.017283691943712116,categorical,,categorical_not_ordered,,False
highest_vol_sector,1,16.0,16,0.025031341715821696,0.025031341715821696,categorical,,categorical_not_ordered,,False
second_highest_structural_vol_underlying,1,15.0,15,0.026529307637743006,0.026529307637743006,categorical,,categorical_not_ordered,,False
barrier_gap_pct,1,14.0,14,0.027284897135726262,0.027284897135726262,numeric,0.21881677098158808,positive,0.21881677098158808,False
no_call_period_months,1,13.0,13,0.029389619054435937,0.029389619054435937,numeric,0.08659570098303557,positive,0.08659570098303557,False
highest_structural_vol_underlying,1,12.0,12,0.03026500610500018,0.03026500610500018,categorical,,categorical_not_ordered,,False
worst_of_pressure,1,11.0,11,0.03073881176922681,0.03073881176922681,numeric,0.4429619177916663,positive,0.4429619177916663,False
observation_interval_months,1,10.0,10,0.033354773816361885,0.033354773816361885,numeric,0.22021637873928096,positive,0.22021637873928096,False
autocall_barrier_pct,1,9.0,9,0.03473086779446627,0.03473086779446627,numeric,0.022699555835761928,mixed_or_flat,0.022699555835761928,False
underlying_REBL,1,8.0,8,0.035170108319528236,0.035170108319528236,numeric,-0.15916806781231177,negative,0.15916806781231177,False
autocall_barrier_above_par_pct,1,7.0,7,0.037369026194417385,0.037369026194417385,numeric,0.022699555835761928,mixed_or_flat,0.022699555835761928,False
callable_maturity_months,1,6.0,6,0.048783092146056965,0.048783092146056965,numeric,0.5035446047078381,positive,0.5035446047078381,False
observation_frequency_clean,1,5.0,5,0.04939716255221867,0.04939716255221867,categorical,,categorical_not_ordered,,False
nominal_maturity_bucket,1,4.0,4,0.05339643934033861,0.05339643934033861,categorical,,categorical_not_ordered,,False
product_type,1,3.0,3,0.08451325553917541,0.08451325553917541,categorical,,categorical_not_ordered,,False
primary_underlying,1,2.0,2,0.10314216865638363,0.10314216865638363,categorical,,categorical_not_ordered,,False
nominal_maturity_months,1,1.0,1,0.13752699877436028,0.13752699877436028,numeric,0.5125397080416637,positive,0.5125397080416637,False
